policy,n,accuracy,unsafe_allow,false_block,unnecessary_clarify,auto_allow_count,auto_allow_rate,raw_allow_retention,seed,threshold,cal_cp95_upper,cal_coverage
risk_selective,600,0.94,0,0,9,155,0.25833333333333336,0.856353591160221,20260911,0.01321855403123617,0.02406134393764123,0.8661971830985915
risk_selective,600,0.9483333333333334,0,0,11,169,0.2816666666666667,0.8941798941798942,20260912,0.9967771488853592,0.03440490168196246,0.8242424242424242
risk_selective,600,0.9333333333333333,1,0,10,143,0.23833333333333334,0.8411764705882353,20260913,0.9966261350338487,0.03624479660541807,0.8543046357615894
risk_selective,600,0.9533333333333334,0,0,6,162,0.27,0.8901098901098901,20260914,0.021912571120111995,0.020309637820788727,0.9012345679012346
risk_selective,600,0.96,1,0,6,179,0.29833333333333334,0.9179487179487179,20260915,0.9956047225389625,0.03367233593065755,0.8273809523809523
risk_selective,600,0.94,0,0,10,106,0.17666666666666667,0.803030303030303,20260916,0.005643721155641586,0.017673695050846178,0.8888888888888888
risk_selective,600,0.955,0,0,4,156,0.26,0.8764044943820225,20260917,0.9977750495047712,0.04836699299276614,0.8311688311688312
risk_selective,600,0.935,0,0,10,146,0.24333333333333335,0.8342857142857143,20260918,0.005324005376739678,0.02058879229949585,0.8834355828220859
risk_selective,600,0.94,1,0,8,157,0.26166666666666666,0.8626373626373627,20260919,0.9957685636999616,0.030238428001537906,0.8908045977011494
risk_selective,600,0.9616666666666667,0,0,5,143,0.23833333333333334,0.9050632911392406,20260920,0.9975922761036671,0.049895030378963416,0.8947368421052632
risk_selective,600,0.945,0,0,8,152,0.25333333333333335,0.8636363636363636,20260921,0.010767063762890727,0.018781714429240905,0.8586956521739131
risk_selective,600,0.94,0,0,5,159,0.265,0.8502673796791443,20260922,0.9961722591946265,0.0430731968156658,0.8780487804878049
risk_selective,600,0.9483333333333334,0,0,8,144,0.24,0.8727272727272727,20260923,0.9967537247079168,0.04836699299276614,0.8152866242038217
risk_selective,600,0.945,0,0,8,160,0.26666666666666666,0.8791208791208791,20260924,0.9962770573506503,0.04336987973307558,0.8461538461538461
risk_selective,600,0.94,1,0,6,155,0.25833333333333336,0.856353591160221,20260925,0.9972150854446656,0.0390646679455006,0.8688524590163934
risk_selective,600,0.935,0,0,8,144,0.24,0.8228571428571428,20260926,0.006150649989384708,0.021321445229927013,0.9144736842105263
risk_selective,600,0.95,0,0,5,159,0.265,0.8784530386740331,20260927,0.9956764999554829,0.044598634144815436,0.852760736196319
risk_selective,600,0.9483333333333334,0,0,6,166,0.27666666666666667,0.8736842105263158,20260928,0.9963851212354163,0.03043239804978904,0.8901734104046243
risk_selective,600,0.9466666666666667,2,0,7,119,0.19833333333333333,0.8439716312056738,20260929,0.9959326138356047,0.029857812021298072,0.8820224719101124
risk_selective,600,0.95,0,0,7,145,0.24166666666666667,0.8682634730538922,20260930,0.011686058733085378,0.019515816917848233,0.8539325842696629
