detector,family,n,expected_trigger_rate,trigger_rate,correct_rate,false_positive,false_negative
frozen,clean,2000,0.0,0.0,1.0,0,0
frozen,compound_vendor_year,1752,1.0,1.0,1.0,0,0
frozen,entity_shift,2000,1.0,1.0,1.0,0,0
frozen,extra_whitespace,2000,0.0,0.0,1.0,0,0
frozen,fullwidth_digits,2000,0.0,0.0,1.0,0,0
frozen,month_shift,2000,1.0,1.0,1.0,0,0
frozen,negation_drop,252,1.0,1.0,1.0,0,0
frozen,punctuation_noise,2000,0.0,0.0,1.0,0,0
frozen,quantifier_broaden,1748,1.0,0.14416475972540047,0.14416475972540047,0,1496
frozen,quantifier_narrow,252,1.0,1.0,1.0,0,0
frozen,vendor_confusable_label,2000,0.0,0.0,1.0,0,0
frozen,vendor_year_collision,6,0.0,0.0,1.0,0,0
frozen,year_shift,1752,1.0,1.0,1.0,0,0
frozen,zero_width_format,2000,0.0,0.0,1.0,0,0
hardened_v2,clean,2000,0.0,0.0,1.0,0,0
hardened_v2,compound_vendor_year,1752,1.0,1.0,1.0,0,0
hardened_v2,entity_shift,2000,1.0,1.0,1.0,0,0
hardened_v2,extra_whitespace,2000,0.0,0.0,1.0,0,0
hardened_v2,fullwidth_digits,2000,0.0,0.0,1.0,0,0
hardened_v2,month_shift,2000,1.0,1.0,1.0,0,0
hardened_v2,negation_drop,252,1.0,1.0,1.0,0,0
hardened_v2,punctuation_noise,2000,0.0,0.0,1.0,0,0
hardened_v2,quantifier_broaden,1748,1.0,0.14416475972540047,0.14416475972540047,0,1496
hardened_v2,quantifier_narrow,252,1.0,1.0,1.0,0,0
hardened_v2,vendor_confusable_label,2000,0.0,0.0,1.0,0,0
hardened_v2,vendor_year_collision,6,0.0,0.0,1.0,0,0
hardened_v2,year_shift,1752,1.0,1.0,1.0,0,0
hardened_v2,zero_width_format,2000,0.0,0.0,1.0,0,0
