case_id,language,transform,v3_triggered
ntx3-001016-1,hin_Latn,nfkc,False
ntx3-001016-1,hin_Latn,extra_spaces,False
ntx3-001016-1,hin_Latn,punctuation,False
ntx3-001016-1,hin_Latn,zero_width,False
ntx3-000584-2,tel_Latn,nfkc,False
ntx3-000584-2,tel_Latn,extra_spaces,False
ntx3-000584-2,tel_Latn,punctuation,False
ntx3-000584-2,tel_Latn,zero_width,False
ntx3-001741-3,tel_Telu,nfkc,False
ntx3-001741-3,tel_Telu,extra_spaces,False
ntx3-001741-3,tel_Telu,punctuation,False
ntx3-001741-3,tel_Telu,zero_width,False
ntx3-001967-1,hin_Latn,nfkc,False
ntx3-001967-1,hin_Latn,extra_spaces,False
ntx3-001967-1,hin_Latn,punctuation,False
ntx3-001967-1,hin_Latn,zero_width,False
ntx3-001933-3,tel_Telu,nfkc,False
ntx3-001933-3,tel_Telu,extra_spaces,False
ntx3-001933-3,tel_Telu,punctuation,False
ntx3-001933-3,tel_Telu,zero_width,False
ntx3-000589-3,tel_Telu,nfkc,False
ntx3-000589-3,tel_Telu,extra_spaces,False
ntx3-000589-3,tel_Telu,punctuation,False
ntx3-000589-3,tel_Telu,zero_width,False
ntx3-001301-3,tel_Telu,nfkc,False
ntx3-001301-3,tel_Telu,extra_spaces,False
ntx3-001301-3,tel_Telu,punctuation,False
ntx3-001301-3,tel_Telu,zero_width,False
ntx3-000876-0,eng_Latn,nfkc,False
ntx3-000876-0,eng_Latn,extra_spaces,False
ntx3-000876-0,eng_Latn,punctuation,False
ntx3-000876-0,eng_Latn,zero_width,False
ntx3-000328-3,tel_Telu,nfkc,False
ntx3-000328-3,tel_Telu,extra_spaces,False
ntx3-000328-3,tel_Telu,punctuation,False
ntx3-000328-3,tel_Telu,zero_width,False
ntx3-001191-1,hin_Latn,nfkc,False
ntx3-001191-1,hin_Latn,extra_spaces,False
ntx3-001191-1,hin_Latn,punctuation,False
ntx3-001191-1,hin_Latn,zero_width,False
ntx3-000514-2,tel_Latn,nfkc,False
ntx3-000514-2,tel_Latn,extra_spaces,False
ntx3-000514-2,tel_Latn,punctuation,False
ntx3-000514-2,tel_Latn,zero_width,False
ntx3-000302-3,tel_Telu,nfkc,False
ntx3-000302-3,tel_Telu,extra_spaces,False
ntx3-000302-3,tel_Telu,punctuation,False
ntx3-000302-3,tel_Telu,zero_width,False
ntx3-000381-2,tel_Latn,nfkc,False
ntx3-000381-2,tel_Latn,extra_spaces,False
ntx3-000381-2,tel_Latn,punctuation,False
ntx3-000381-2,tel_Latn,zero_width,False
ntx3-002334-1,hin_Latn,nfkc,False
ntx3-002334-1,hin_Latn,extra_spaces,False
ntx3-002334-1,hin_Latn,punctuation,False
ntx3-002334-1,hin_Latn,zero_width,False
ntx3-002235-3,tel_Telu,nfkc,False
ntx3-002235-3,tel_Telu,extra_spaces,False
ntx3-002235-3,tel_Telu,punctuation,False
ntx3-002235-3,tel_Telu,zero_width,False
ntx3-001696-1,hin_Latn,nfkc,False
ntx3-001696-1,hin_Latn,extra_spaces,False
ntx3-001696-1,hin_Latn,punctuation,False
ntx3-001696-1,hin_Latn,zero_width,False
ntx3-000246-1,hin_Latn,nfkc,False
ntx3-000246-1,hin_Latn,extra_spaces,False
ntx3-000246-1,hin_Latn,punctuation,False
ntx3-000246-1,hin_Latn,zero_width,False
ntx3-001643-0,eng_Latn,nfkc,False
ntx3-001643-0,eng_Latn,extra_spaces,False
ntx3-001643-0,eng_Latn,punctuation,False
ntx3-001643-0,eng_Latn,zero_width,False
ntx3-002234-3,tel_Telu,nfkc,False
ntx3-002234-3,tel_Telu,extra_spaces,False
ntx3-002234-3,tel_Telu,punctuation,False
ntx3-002234-3,tel_Telu,zero_width,False
ntx3-000300-1,hin_Latn,nfkc,False
ntx3-000300-1,hin_Latn,extra_spaces,False
ntx3-000300-1,hin_Latn,punctuation,False
ntx3-000300-1,hin_Latn,zero_width,False
ntx3-001304-1,hin_Latn,nfkc,False
ntx3-001304-1,hin_Latn,extra_spaces,False
ntx3-001304-1,hin_Latn,punctuation,False
ntx3-001304-1,hin_Latn,zero_width,False
ntx3-000817-3,tel_Telu,nfkc,False
ntx3-000817-3,tel_Telu,extra_spaces,False
ntx3-000817-3,tel_Telu,punctuation,False
ntx3-000817-3,tel_Telu,zero_width,False
ntx3-002206-0,eng_Latn,nfkc,False
ntx3-002206-0,eng_Latn,extra_spaces,False
ntx3-002206-0,eng_Latn,punctuation,False
ntx3-002206-0,eng_Latn,zero_width,False
ntx3-000213-1,hin_Latn,nfkc,False
ntx3-000213-1,hin_Latn,extra_spaces,False
ntx3-000213-1,hin_Latn,punctuation,False
ntx3-000213-1,hin_Latn,zero_width,False
ntx3-001670-1,hin_Latn,nfkc,False
