case_id,group_id,language,risk,relation,attack,malicious,v2,v3
ntx3-002299-0,g-002299,eng_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-002299-0,g-002299,eng_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-002299-0,g-002299,eng_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-002299-0,g-002299,eng_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-002299-0,g-002299,eng_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-002299-0,g-002299,eng_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-002299-1,g-002299,hin_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-002299-1,g-002299,hin_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-002299-1,g-002299,hin_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-002299-1,g-002299,hin_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-002299-1,g-002299,hin_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-002299-1,g-002299,hin_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-002299-2,g-002299,tel_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-002299-2,g-002299,tel_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-002299-2,g-002299,tel_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-002299-2,g-002299,tel_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-002299-2,g-002299,tel_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-002299-2,g-002299,tel_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-002299-3,g-002299,tel_Telu,LOW,EQUIVALENT,clean,False,False,False
ntx3-002299-3,g-002299,tel_Telu,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-002299-3,g-002299,tel_Telu,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-002299-3,g-002299,tel_Telu,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-002299-3,g-002299,tel_Telu,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-002299-3,g-002299,tel_Telu,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001529-0,g-001529,eng_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-001529-0,g-001529,eng_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-001529-0,g-001529,eng_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-001529-0,g-001529,eng_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-001529-0,g-001529,eng_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-001529-0,g-001529,eng_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001529-1,g-001529,hin_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-001529-1,g-001529,hin_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-001529-1,g-001529,hin_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-001529-1,g-001529,hin_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-001529-1,g-001529,hin_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-001529-1,g-001529,hin_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001529-2,g-001529,tel_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-001529-2,g-001529,tel_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
