file,code_cells,verification,issues
notebooks/external_validation/NTX_EXTERNAL_MULTI_BENCHMARK_TESTING.ipynb,17,AST_OK,
notebooks/external_validation/NTX_EXTERNAL_MULTI_BENCHMARK_TESTING_V2_FIXED.ipynb,13,AST_OK,
notebooks/external_validation/NTX_FINAL_EXTERNAL_EXPERIMENT_COMPLETION.ipynb,15,AST_OK,
notebooks/stage_01_15/NTX_Q1_01_Semantic_Anchor_Stress.ipynb,8,AST_OK,
notebooks/stage_01_15/NTX_Q1_02_SIL_IIEA_Ablations.ipynb,7,AST_OK,
notebooks/stage_01_15/NTX_Q1_03_Verified_Execution_Broker.ipynb,8,AST_OK,
notebooks/stage_01_15/NTX_Q1_04_Statistics_Reproducibility.ipynb,10,AST_OK,
notebooks/stage_01_15/NTX_Q1_05_Frozen_Runtime_Ablation.ipynb,11,AST_OK,
notebooks/stage_01_15/NTX_Q1_06_Metamorphic_Semantic_Attack_Lab.ipynb,11,AST_OK,
notebooks/stage_01_15/NTX_Q1_07_Verified_Execution_Broker_V2.ipynb,11,AST_OK,
notebooks/stage_01_15/NTX_Q1_08_Risk_Calibrated_Selective_Authorization.ipynb,13,AST_OK,
notebooks/stage_01_15/NTX_Q1_09_Anchor_Lock_V3_Hardening.ipynb,12,AST_OK,
notebooks/stage_01_15/NTX_Q1_10_BFCL_MLCL_MultiModel_External.ipynb,10,AST_OK,
notebooks/stage_01_15/NTX_Q1_10_BFCL_MLCL_MultiModel_External_FIXED.ipynb,10,AST_OK,
notebooks/stage_01_15/NTX_Q1_11_AgentDojo_AgentSafetyBench_Transfer.ipynb,10,AST_OK,
notebooks/stage_01_15/NTX_Q1_11_AgentDojo_AgentSafetyBench_Transfer_FIXED.ipynb,10,AST_OK,
notebooks/stage_01_15/NTX_Q1_12_Tau3_Stateful_MultiModel_Transfer.ipynb,10,AST_OK,
notebooks/stage_01_15/NTX_Q1_13_Unified_MultiBenchmark_MetaAnalysis.ipynb,9,AST_OK,
notebooks/stage_01_15/NTX_Q1_14_ICLR_TACL_Final_Validation.ipynb,11,AST_OK,
notebooks/stage_01_15/NTX_Q1_15_Paper_Finisher_All_Formats.ipynb,11,AST_OK,
notebooks/stage_01_15/NTX_Q1_WAVE3_MASTER_ALL_FIVE_STAGES.ipynb,17,AST_OK,
notebooks/stage_01_15/NTX_Q1_WAVE3_MASTER_REAL_RUN_CONFIGURED.ipynb,18,AST_OK,
