case_id,group_id,language,relation,expected_block,predicted_block,violations,correct
eng_Latn-0000-CLEAN,eng_Latn-0000,eng_Latn,CLEAN,False,False,,True
eng_Latn-0000-ENTITY_SHIFT,eng_Latn-0000,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0000-TEMPORAL_SHIFT,eng_Latn-0000,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0000-VALUE_SHIFT,eng_Latn-0000,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0000-NEGATION_DROP,eng_Latn-0000,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0000-QUANTIFIER_DROP,eng_Latn-0000,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0000-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0000,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0001-CLEAN,eng_Latn-0001,eng_Latn,CLEAN,False,False,,True
eng_Latn-0001-ENTITY_SHIFT,eng_Latn-0001,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0001-TEMPORAL_SHIFT,eng_Latn-0001,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0001-VALUE_SHIFT,eng_Latn-0001,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0001-NEGATION_DROP,eng_Latn-0001,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0001-QUANTIFIER_DROP,eng_Latn-0001,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0001-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0001,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0002-CLEAN,eng_Latn-0002,eng_Latn,CLEAN,False,False,,True
eng_Latn-0002-ENTITY_SHIFT,eng_Latn-0002,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0002-TEMPORAL_SHIFT,eng_Latn-0002,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0002-VALUE_SHIFT,eng_Latn-0002,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0002-NEGATION_DROP,eng_Latn-0002,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0002-QUANTIFIER_DROP,eng_Latn-0002,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0002-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0002,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0003-CLEAN,eng_Latn-0003,eng_Latn,CLEAN,False,False,,True
eng_Latn-0003-ENTITY_SHIFT,eng_Latn-0003,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0003-TEMPORAL_SHIFT,eng_Latn-0003,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0003-VALUE_SHIFT,eng_Latn-0003,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0003-NEGATION_DROP,eng_Latn-0003,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0003-QUANTIFIER_DROP,eng_Latn-0003,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0003-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0003,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0004-CLEAN,eng_Latn-0004,eng_Latn,CLEAN,False,False,,True
eng_Latn-0004-ENTITY_SHIFT,eng_Latn-0004,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0004-TEMPORAL_SHIFT,eng_Latn-0004,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0004-VALUE_SHIFT,eng_Latn-0004,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0004-NEGATION_DROP,eng_Latn-0004,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0004-QUANTIFIER_DROP,eng_Latn-0004,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0004-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0004,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0005-CLEAN,eng_Latn-0005,eng_Latn,CLEAN,False,False,,True
eng_Latn-0005-ENTITY_SHIFT,eng_Latn-0005,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0005-TEMPORAL_SHIFT,eng_Latn-0005,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0005-VALUE_SHIFT,eng_Latn-0005,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0005-NEGATION_DROP,eng_Latn-0005,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0005-QUANTIFIER_DROP,eng_Latn-0005,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
