model,case_id,evaluable,missing_reason,v2_trigger,v3_trigger,new_v3_trigger
Qwen3.5-122B,ntx3-002299-0,True,,False,False,False
Qwen3.5-122B,ntx3-002299-1,True,,False,False,False
Qwen3.5-122B,ntx3-002299-2,True,,False,False,False
Qwen3.5-122B,ntx3-002299-3,True,,False,False,False
Qwen3.5-122B,ntx3-001529-0,True,,False,False,False
Qwen3.5-122B,ntx3-001529-1,True,,False,False,False
Qwen3.5-122B,ntx3-001529-2,True,,False,False,False
Qwen3.5-122B,ntx3-001529-3,True,,False,False,False
Qwen3.5-122B,ntx3-001644-0,True,,False,False,False
Qwen3.5-122B,ntx3-001644-1,True,,False,False,False
Qwen3.5-122B,ntx3-001644-2,True,,False,False,False
Qwen3.5-122B,ntx3-001644-3,True,,False,False,False
Qwen3.5-122B,ntx3-000175-0,True,,False,False,False
Qwen3.5-122B,ntx3-000175-1,True,,False,False,False
Qwen3.5-122B,ntx3-000175-2,True,,False,False,False
Qwen3.5-122B,ntx3-000175-3,True,,False,False,False
Qwen3.5-122B,ntx3-000679-0,True,,False,False,False
Qwen3.5-122B,ntx3-000679-1,True,,False,False,False
Qwen3.5-122B,ntx3-000679-2,True,,False,False,False
Qwen3.5-122B,ntx3-000679-3,True,,False,False,False
Qwen3.5-122B,ntx3-001307-0,True,,False,False,False
Qwen3.5-122B,ntx3-001307-1,True,,False,False,False
Qwen3.5-122B,ntx3-001307-2,True,,False,False,False
Qwen3.5-122B,ntx3-001307-3,True,,False,False,False
Qwen3.5-122B,ntx3-001476-0,True,,False,False,False
Qwen3.5-122B,ntx3-001476-1,True,,False,False,False
Qwen3.5-122B,ntx3-001476-2,True,,False,False,False
Qwen3.5-122B,ntx3-001476-3,True,,False,False,False
Qwen3.5-122B,ntx3-001929-0,True,,False,False,False
Qwen3.5-122B,ntx3-001929-1,True,,False,False,False
Qwen3.5-122B,ntx3-001929-2,True,,False,False,False
Qwen3.5-122B,ntx3-001929-3,True,,False,False,False
Qwen3.5-122B,ntx3-001674-0,True,,False,False,False
Qwen3.5-122B,ntx3-001674-1,True,,False,False,False
Qwen3.5-122B,ntx3-001674-2,True,,False,False,False
Qwen3.5-122B,ntx3-001674-3,True,,False,False,False
Qwen3.5-122B,ntx3-002470-0,True,,False,False,False
Qwen3.5-122B,ntx3-002470-1,True,,False,False,False
Qwen3.5-122B,ntx3-002470-2,True,,False,False,False
Qwen3.5-122B,ntx3-002470-3,True,,False,False,False
Qwen3.5-122B,ntx3-000825-0,True,,False,False,False
Qwen3.5-122B,ntx3-000825-1,True,,False,False,False
Qwen3.5-122B,ntx3-000825-2,True,,False,False,False
Qwen3.5-122B,ntx3-000825-3,True,,False,False,False
Qwen3.5-122B,ntx3-000324-0,True,,False,False,False
Qwen3.5-122B,ntx3-000324-1,True,,False,False,False
Qwen3.5-122B,ntx3-000324-2,True,,False,False,False
Qwen3.5-122B,ntx3-000324-3,True,,False,False,False
Qwen3.5-122B,ntx3-001878-0,True,,False,False,False
Qwen3.5-122B,ntx3-001878-1,True,,False,False,False
Qwen3.5-122B,ntx3-001878-2,True,,False,False,False
Qwen3.5-122B,ntx3-001878-3,True,,False,False,False
Qwen3.5-122B,ntx3-001705-0,True,,False,False,False
Qwen3.5-122B,ntx3-001705-1,True,,False,False,False
Qwen3.5-122B,ntx3-001705-2,True,,False,False,False
Qwen3.5-122B,ntx3-001705-3,True,,False,False,False
Qwen3.5-122B,ntx3-002485-0,True,,False,False,False
Qwen3.5-122B,ntx3-002485-1,True,,False,False,False
Qwen3.5-122B,ntx3-002485-2,True,,False,False,False
Qwen3.5-122B,ntx3-002485-3,True,,False,False,False
Qwen3.5-122B,ntx3-001225-0,True,,False,False,False
Qwen3.5-122B,ntx3-001225-1,True,,False,False,False
Qwen3.5-122B,ntx3-001225-2,True,,False,False,False
Qwen3.5-122B,ntx3-001225-3,True,,False,False,False
Qwen3.5-122B,ntx3-001049-0,True,,False,False,False
Qwen3.5-122B,ntx3-001049-1,True,,False,False,False
Qwen3.5-122B,ntx3-001049-2,True,,False,False,False
Qwen3.5-122B,ntx3-001049-3,True,,False,False,False
Qwen3.5-122B,ntx3-000595-0,True,,False,False,False
Qwen3.5-122B,ntx3-000595-1,True,,False,False,False
Qwen3.5-122B,ntx3-000595-2,True,,False,False,False
Qwen3.5-122B,ntx3-000595-3,True,,False,False,False
Qwen3.5-122B,ntx3-002124-0,True,,False,False,False
Qwen3.5-122B,ntx3-002124-1,True,,False,False,False
Qwen3.5-122B,ntx3-002124-2,True,,False,False,False
Qwen3.5-122B,ntx3-002124-3,True,,False,False,False
Qwen3.5-122B,ntx3-000153-0,True,,False,False,False
Qwen3.5-122B,ntx3-000153-1,True,,False,False,False
Qwen3.5-122B,ntx3-000153-2,True,,False,False,False
Qwen3.5-122B,ntx3-000153-3,True,,False,False,False
Qwen3.5-122B,ntx3-000857-0,True,,False,False,False
Qwen3.5-122B,ntx3-000857-1,True,,False,False,False
Qwen3.5-122B,ntx3-000857-2,True,,False,False,False
Qwen3.5-122B,ntx3-000857-3,True,,False,False,False
Qwen3.5-122B,ntx3-000505-0,True,,False,False,False
Qwen3.5-122B,ntx3-000505-1,True,,False,False,False
Qwen3.5-122B,ntx3-000505-2,True,,False,False,False
Qwen3.5-122B,ntx3-000505-3,True,,False,False,False
Qwen3.5-122B,ntx3-001415-0,True,,False,False,False
Qwen3.5-122B,ntx3-001415-1,True,,False,False,False
Qwen3.5-122B,ntx3-001415-2,True,,False,False,False
Qwen3.5-122B,ntx3-001415-3,True,,False,False,False
Qwen3.5-122B,ntx3-002309-0,True,,False,False,False
Qwen3.5-122B,ntx3-002309-1,True,,False,False,False
Qwen3.5-122B,ntx3-002309-2,True,,False,False,False
Qwen3.5-122B,ntx3-002309-3,True,,False,False,False
Qwen3.5-122B,ntx3-000413-0,True,,False,False,False
Qwen3.5-122B,ntx3-000413-1,True,,False,False,False
Qwen3.5-122B,ntx3-000413-2,True,,False,False,False
Qwen3.5-122B,ntx3-000413-3,True,,False,False,False
Qwen3.5-122B,ntx3-001084-0,True,,False,False,False
Qwen3.5-122B,ntx3-001084-1,True,,False,False,False
Qwen3.5-122B,ntx3-001084-2,True,,False,False,False
Qwen3.5-122B,ntx3-001084-3,True,,False,False,False
Qwen3.5-122B,ntx3-001016-0,True,,False,False,False
Qwen3.5-122B,ntx3-001016-1,True,,False,False,False
