case_id,variant_group_id,raw_text,language,relation,risk,expected_verdict,base,anchor_only,clarification_only,full,anchor_violations,clarification_suppressed,decision_reason
ntx3-000898-2,g-000898,Vendor 8127 ki May 2026 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-002181-2,g-002181,Vendor 8634 ki May 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001757-2,g-001757,Vendor 3258 ki December 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,LOW,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001478-0,g-001478,Archive only matching July 2026 invoices for vendor 9137.,eng_Latn,NARROWER,HIGH,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-002428-0,g-002428,Archive only matching May 2025 invoices for vendor 4160.,eng_Latn,NARROWER,HIGH,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001506-2,g-001506,Vendor 5764 ki February 2026 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,LOW,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-000504-0,g-000504,Archive only matching July 2026 invoices for vendor 5685.,eng_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-000815-2,g-000815,Vendor 8697 ki February 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001985-2,g-001985,Vendor 8087 ki July 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001213-0,g-001213,Archive only matching August 2026 invoices for vendor 4096.,eng_Latn,NARROWER,HIGH,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001213-2,g-001213,Vendor 4096 ki August 2026 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,HIGH,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-002065-2,g-002065,Vendor 9731 ki October 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,LOW,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001967-2,g-001967,Vendor 2904 ki June 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-000232-0,g-000232,Archive only matching November 2026 invoices for vendor 1060.,eng_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-000600-2,g-000600,Vendor 4148 ki January 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,MEDIUM,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-000410-0,g-000410,Archive only matching September 2025 invoices for vendor 6388.,eng_Latn,NARROWER,HIGH,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001968-2,g-001968,Vendor 4490 ki January 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,HIGH,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001838-0,g-001838,Archive only matching December 2025 invoices for vendor 3365.,eng_Latn,NARROWER,CRITICAL,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
