case_id,proposal,anchor_violation,policy_permits,effect_equivalent,model_requests_clarify,effect_sets
formal-000000,23,False,True,False,False,"[[14], [18, 19, 21, 23]]"
formal-000001,2,True,True,False,True,"[[2, 3, 13, 20, 21], [2, 6, 17], [2, 6, 17]]"
formal-000002,3,False,True,False,False,"[[3, 7, 12, 13, 23], [2, 5, 7, 13, 20, 23], [2, 7, 10, 13, 21, 23]]"
formal-000003,8,False,True,False,False,"[[2, 5, 8, 11, 13, 20, 23], [2, 7, 8, 13, 14, 18, 22], [3, 5, 8, 13], [0, 8, 13, 14, 16]]"
formal-000004,15,False,True,False,False,"[[0, 4, 6, 11, 19], [2, 3, 6, 15, 21]]"
formal-000005,18,True,True,False,True,"[[0, 1, 3, 8, 11, 13], [1], [1, 21], [1, 3, 13, 18, 23]]"
formal-000006,22,False,True,False,False,"[[1, 3, 6, 15, 16, 19], [6, 10, 13, 15, 18, 19, 22], [1, 6, 7, 13, 15, 18, 19]]"
formal-000007,19,False,True,False,False,"[[], [5, 16], [19]]"
formal-000008,23,True,True,False,False,"[[4, 23], [2], [6, 16], [2, 4, 12, 20]]"
formal-000009,17,False,True,False,False,"[[4, 9, 10, 13, 22], [3, 8, 9, 10, 13, 18, 21, 22], [9, 10, 11, 16, 17, 22]]"
formal-000010,12,False,True,False,False,"[[2, 17, 19], [2, 7, 12], [2, 6]]"
formal-000011,6,False,True,False,False,"[[4, 13], [1, 5, 12, 13, 19], [], [0, 6, 8, 9, 21]]"
formal-000012,14,True,True,False,False,"[[3, 8, 9, 10, 11, 15, 20], [7, 8, 13, 20, 23], [15, 20, 21], [6, 11, 14, 17, 20, 21]]"
formal-000013,11,False,False,False,False,"[[5, 8, 15], [6, 13, 15, 20], [2, 7, 11, 15, 21, 22]]"
formal-000014,13,False,True,False,True,"[[21], [13, 21], [4, 12, 15, 19, 21]]"
formal-000015,0,False,False,False,False,"[[1, 2, 6, 16, 20], [6, 19, 20], [0, 13, 17, 20]]"
formal-000016,17,False,True,False,False,"[[3, 6, 8, 9, 13, 17, 23], [0, 1, 5, 13, 15, 22], [1, 6, 13], [13]]"
formal-000017,3,False,True,False,False,"[[1, 3, 5, 6, 11, 12, 16, 20, 22], [1, 2, 6, 11], [1, 2, 6, 7, 11, 15, 16, 18, 19], [1, 6, 9, 11, 19, 21, 22]]"
formal-000018,22,False,True,False,False,"[[1, 2, 5, 7, 10, 14, 17, 22, 23], [0, 2, 7, 10, 17], [2, 7, 17]]"
formal-000019,23,False,True,False,False,"[[0, 3, 6, 11, 22, 23], [0, 3, 7, 10, 20, 22], [0, 3, 4, 6, 11, 13, 22, 23], [0, 3, 5, 7, 14, 17, 19, 22, 23]]"
formal-000020,14,False,True,False,False,"[[1, 3, 8, 11, 15, 17], [11, 13, 23], [5, 10, 11, 15, 19, 22]]"
formal-000021,10,True,True,False,True,"[[0, 3, 10, 23], [20], [8, 17]]"
formal-000022,0,False,True,False,False,"[[0, 16], [0, 12, 15]]"
formal-000023,15,False,True,False,False,"[[1, 4, 8, 15, 16, 23], [1, 4, 16], [4, 16], [4, 16]]"
formal-000024,10,False,True,False,True,"[[8, 12, 17], [0, 1, 12, 16, 19, 23], [2], [1, 10, 22]]"
