sha256,count,sample_paths
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,46,results/extracted/external_attempts_summary/bfcl_category_scores.csv | results/extracted/external_attempts_summary/bfcl_run_status.csv | results/extracted/external_attempts_summary/external_model_summary.csv | results/extracted/external_attempts_summary/external_unified_evidence.csv | results/extracted/external_attempts_summary/tau_summary.csv | results/extracted/external_attempts_summary/tau_trajectory_metrics.csv | results/extracted/final_integration_snapshot/21_hierarchical_summary.csv | results/extracted/latest_external_check/10_bfcl_metrics.csv | results/extracted/latest_external_check/14_tau_summary.csv | results/extracted/latest_external_check/14_tau_trajectory_metrics.csv | results/extracted/latest_external_check/20_external_unified_evidence.csv | results/extracted/master_external_and_meta/master10_bfcl_effect_audit.csv
cce0b6e41f1774f6c020130612ad0076fa3ef4a1dd4e6959139c9887e9e3aeee,8,paper/source/elsevier/figures/master09_anchor_v3_recall.png | paper/source/elsevier_audited_2026-09-14/figures/master09_anchor_v3_recall.png | paper/source/ieee/figures/master09_anchor_v3_recall.png | paper/source/ieee_audited_2026-09-14/figures/master09_anchor_v3_recall.png | paper/source/springer/figures/master09_anchor_v3_recall.png | paper/source/springer_audited_2026-09-14/figures/master09_anchor_v3_recall.png | results/extracted/master_external_and_meta/master09_anchor_v3_recall.png | results/extracted/merged_recovery_package/master_original/master09_anchor_v3_recall.png
d23caca3ed1ce58a3b9f15e37bf108f210ba523462a5cd3792362856c59f2d6c,8,results/local_t4_latest/raw_benchmark_outputs/tau/granite33_2b/telecom/artifacts/task_[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None]/sim_98b3e1a0-13b4-46ee-aa01-8de93874eca7/sim_status.json | results/local_t4_latest/raw_benchmark_outputs/tau/granite33_2b/telecom/artifacts/task_[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None]/sim_b62648df-28a2-4a0b-9d2b-41cc8f13b8c4/sim_status.json | results/local_t4_latest/raw_benchmark_outputs/tau/qwen25_3b/airline/artifacts/task_0/sim_a9b3e6fd-a600-4c55-acee-064506fb50b8/sim_status.json | results/local_t4_latest/raw_benchmark_outputs/tau/qwen25_3b/airline/artifacts/task_0/sim_b12cc228-6e8b-4430-b958-601f427b8d18/sim_status.json | results/local_t4_latest/raw_benchmark_outputs/tau/qwen25_3b/retail/artifacts/task_0/sim_c573f283-e1a2-44ff-b691-b93e57fac899/sim_status.json | results/local_t4_latest/raw_benchmark_outputs/tau/qwen25_3b/retail/artifacts/task_0/sim_fa504b10-f00e-4104-a2d3-35cd502e8cba/sim_status.json | results/local_t4_latest/raw_benchmark_outputs/tau/qwen25_3b/telecom/artifacts/task_[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None]/sim_3d5b4adc-5374-43fd-bc9b-92af08c48e99/sim_status.json | results/local_t4_latest/raw_benchmark_outputs/tau/qwen25_3b/telecom/artifacts/task_[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None]/sim_a702f4f3-da2e-454e-beff-7e5e6441012a/sim_status.json
ae8f8f54ddf6f657e19c46ba9b40352140c58d08126e045dbaa2f6fe62ed7591,7,paper/source/elsevier/figures/exp05_frozen_ablation_accuracy.png | paper/source/elsevier_audited_2026-09-14/figures/exp05_frozen_ablation_accuracy.png | paper/source/ieee/figures/exp05_frozen_ablation_accuracy.png | paper/source/ieee_audited_2026-09-14/figures/exp05_frozen_ablation_accuracy.png | paper/source/springer/figures/exp05_frozen_ablation_accuracy.png | paper/source/springer_audited_2026-09-14/figures/exp05_frozen_ablation_accuracy.png | results/extracted/stage_archives_extracted/NTX_Q1_05_FROZEN_RUNTIME_ABLATION_RESULTS/exp05_frozen_ablation_accuracy.png
e7f4196b512ab098ee36b582566852a9a984535de56b9a1047ad1699a6abbf95,7,paper/source/elsevier/figures/exp07_attack_matrix.png | paper/source/elsevier_audited_2026-09-14/figures/exp07_attack_matrix.png | paper/source/ieee/figures/exp07_attack_matrix.png | paper/source/ieee_audited_2026-09-14/figures/exp07_attack_matrix.png | paper/source/springer/figures/exp07_attack_matrix.png | paper/source/springer_audited_2026-09-14/figures/exp07_attack_matrix.png | results/extracted/stage_archives_extracted/NTX_Q1_07_VERIFIED_EXECUTION_BROKER_V2_RESULTS/exp07_attack_matrix.png
fdac222dc0b1b8cda239462cc115d03aa32905631558d8092bd89f835003d62b,7,paper/source/elsevier/figures/paper_semantic_decision_gap.png | paper/source/elsevier_audited_2026-09-14/figures/paper_semantic_decision_gap.png | paper/source/ieee/figures/paper_semantic_decision_gap.png | paper/source/ieee_audited_2026-09-14/figures/paper_semantic_decision_gap.png | paper/source/springer/figures/paper_semantic_decision_gap.png | paper/source/springer_audited_2026-09-14/figures/paper_semantic_decision_gap.png | results/extracted/stage_archives_extracted/NTX_Q1_04_STATS_REPRO_RESULTS/paper_semantic_decision_gap.png
a2011e7ba53e19c8635dd09bd13935dd550fda0680b728f623498608a4cddeb7,6,paper/source/elsevier/references.bib | paper/source/elsevier_audited_2026-09-14/references.bib | paper/source/ieee/references.bib | paper/source/ieee_audited_2026-09-14/references.bib | paper/source/springer/references.bib | paper/source/springer_audited_2026-09-14/references.bib
b5aa04f1c8f18ed44eddb53ae7a0d6827293e1afbd9d46b4faac9150a72acf89,5,results/extracted/master_external_and_meta/master09_attack_family.csv | results/extracted/merged_recovery_package/master_original/master09_attack_family.csv | results/extracted/stage_archives_extracted/NTX_Q1_09_ANCHOR_LOCK_V3_RESULTS/exp09_attack_family_metrics.csv | results/extracted/stage_archives_extracted/NTX_Q1_WAVE3_MASTER_ALL_FIVE_STAGES_RESULTS/master09_attack_family.csv | results/extracted/wave3/exp09_attack_family_metrics.csv
af7536b9fcdedca28c717e62dcff43e4faf4eb306730f3f1d89b787f44382a7d,5,results/extracted/master_external_and_meta/master09_guard_summary.csv | results/extracted/merged_recovery_package/master_original/master09_guard_summary.csv | results/extracted/stage_archives_extracted/NTX_Q1_09_ANCHOR_LOCK_V3_RESULTS/exp09_guard_summary.csv | results/extracted/stage_archives_extracted/NTX_Q1_WAVE3_MASTER_ALL_FIVE_STAGES_RESULTS/master09_guard_summary.csv | results/extracted/wave3/exp09_guard_summary.csv
ad8307147b817942a2a742b50dc495babb361cb334ecdddb04f4d53cb5619a0d,5,results/extracted/master_external_and_meta/master09_metamorphic_cases.csv | results/extracted/merged_recovery_package/master_original/master09_metamorphic_cases.csv | results/extracted/stage_archives_extracted/NTX_Q1_09_ANCHOR_LOCK_V3_RESULTS/exp09_metamorphic_cases.csv | results/extracted/stage_archives_extracted/NTX_Q1_WAVE3_MASTER_ALL_FIVE_STAGES_RESULTS/master09_metamorphic_cases.csv | results/extracted/wave3/exp09_metamorphic_cases.csv
