case_id,group_id,language,relation,raw_text,gold_contract,candidate_contract,expected_block
eng_Latn-0000-CLEAN,eng_Latn-0000,eng_Latn,CLEAN,do not archive all invoices for vendor 6933 for january 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}",False
eng_Latn-0000-ENTITY_SHIFT,eng_Latn-0000,eng_Latn,ENTITY_SHIFT,do not archive all invoices for vendor 6933 for january 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 7034, ""YEAR"": 2025}",True
eng_Latn-0000-TEMPORAL_SHIFT,eng_Latn-0000,eng_Latn,TEMPORAL_SHIFT,do not archive all invoices for vendor 6933 for january 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 2, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}",True
eng_Latn-0000-VALUE_SHIFT,eng_Latn-0000,eng_Latn,VALUE_SHIFT,do not archive all invoices for vendor 6933 for january 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}","{""AMOUNT"": 5500, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}",True
eng_Latn-0000-NEGATION_DROP,eng_Latn-0000,eng_Latn,NEGATION_DROP,do not archive all invoices for vendor 6933 for january 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": false, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}",True
eng_Latn-0000-QUANTIFIER_DROP,eng_Latn-0000,eng_Latn,QUANTIFIER_DROP,do not archive all invoices for vendor 6933 for january 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""MATCHING"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}",True
eng_Latn-0000-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0000,eng_Latn,HALLUCINATED_CRITICAL_SLOT,do not archive all invoices for vendor 6933 for january 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 1, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""RECIPIENT_ID"": ""R616"", ""VENDOR_ID"": 6933, ""YEAR"": 2025}",True
eng_Latn-0001-CLEAN,eng_Latn-0001,eng_Latn,CLEAN,do not archive only invoices for vendor 7712 for june 2025 with amount INR 10000.,"{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}","{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}",False
eng_Latn-0001-ENTITY_SHIFT,eng_Latn-0001,eng_Latn,ENTITY_SHIFT,do not archive only invoices for vendor 7712 for june 2025 with amount INR 10000.,"{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}","{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7713, ""YEAR"": 2025}",True
eng_Latn-0001-TEMPORAL_SHIFT,eng_Latn-0001,eng_Latn,TEMPORAL_SHIFT,do not archive only invoices for vendor 7712 for june 2025 with amount INR 10000.,"{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}","{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 7, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}",True
