attack,rep,committed,reason,expected_commit,pass,state_hash,args_hash
valid,0,True,OK,True,True,d6749670b51c003d6c000464803f4d3c01ba0147ee860aebcb90cbcebd5f09e3,e960422a1fa33d1b64b784cafc99214c6572ef4573c84fe71c63ec0dc1b3e711
valid,1,True,OK,True,True,fa908ce267c3de65a421d4a4bb7f09be5598c62bac6e568a1c33e19060fb463e,4d286d3ff38371176bb40da003755879db3dfda10acddf39475a679ee3f8446b
valid,2,True,OK,True,True,ada7b508a3f766a2e68f4e8821c32e84d51600ad27262714d9e5352644282f78,87443158397583179ecfe9a3df8c4f3b7cef42e1718bd287d2539fa78e9f1161
valid,3,True,OK,True,True,df76e13d2438344ddb791ea97fa3899e5b5f096028c3d802a344be9763bb13f5,cc3a6f40c09287e24ccd5cf818db6a257d83cd0b12c8c7018ffed804b58fd25d
valid,4,True,OK,True,True,05fb963b2b540dbc608849094a6ffc52605a0882d801bda30ecf8385eadb190c,3043b57df28677f1057f7bfd7d4c97d16182af762148f86d32bf8c3b8ff748f0
valid,5,True,OK,True,True,a87f07491117191a0d9828e878b48714dd7d228bd60d6c5718cbc5c8858c7a8e,b691398a3fdf83b53da9a4e8c9026b14f7a5a085bbf59972df926fe977ceda8d
valid,6,True,OK,True,True,cac831bba9687252fb5d69e855c797a9aa43484de415a5340081d3da34c6a613,9ac80eec4c8b8c1bb91feeea08dcfed133aede7b27c4886a7a700752d97a62a5
valid,7,True,OK,True,True,2fc60df54a90a55c33dc225d6620182828e1c29f95a2c331a0b3cc1fe54f9fcb,260450a111c5cfa5071f8a11ab22badc34f0b2008384ab28fb2ffad96c484c03
valid,8,True,OK,True,True,b6b76f45bcc4394a4e590a7dcbce1d9302c34d53cfbefb8b327d12807dfd78bd,89234c761dc8cdc62a256ccf04f38007aac8ddeb6a28190dd3047c070837619e
valid,9,True,OK,True,True,09de484bfcb0fc8e8a3bd93eafafaa212ecbd2c6b74c618fc15b85924612cf78,e56be0e29395696ebee57f4c3f083dbc9282708cc2251157860ef73af42d11a7
valid,10,True,OK,True,True,6393437c41884696718ad5e39d1f6590e8c6d23c13d2172dc8cbf1ad9547fa98,76b2004eeb637ecc76fa36ebb16c502b1690dcf1da225c990b5a3d1aee0c5d6e
valid,11,True,OK,True,True,4d527a3cfce9126db6c19cfad31b2bfe4f121aeafdd9bd6c73b4ae063ea8e627,e67586c23c3ce46c706204a873934f3102c960dbb94bf07f1fc83c28ee08b203
valid,12,True,OK,True,True,999f6388ea30c2fb5a891c8646101f8b4b1f13a8fb3893667ef887283ebddaf2,8a6abf281e5432aad2108cf2fd6bd6143caee659587997fc24157e2553b84b87
valid,13,True,OK,True,True,e008b2eff31ed19d8a36c01e78f00461500d709dd47d204cef67c67b60748a65,564df9668c0a976732893ddcbfd1995df5c0aa3bbcfb9d26c50644c30c5e9640
valid,14,True,OK,True,True,8d0f623cb38361473f9766c391fb620841f19aa81aa74f5e963e3e49b6a7ed77,4d95e7e6c6ab688e503785dec9ec3c8336d6eccf888637e9f4a1d928ce88f350
valid,15,True,OK,True,True,acf50eefcd59caae84606fd35d6d058a229f0d1b5d0e9955380ebb22e544cd89,d4b72a2085f84d152d36d3adaa81512de2de2f8443ef83ff72aba9441bf5aec1
valid,16,True,OK,True,True,ccc4f4bdf9c4e8f51b480a4748bbde5b44187c66dac084007795c815bc710ea3,5f75df63d4afdc00adb07f11a01b85f2d0d4b22531d193e89f71be5430caf13b
valid,17,True,OK,True,True,c5c3a6009fcdd4ef4698e6e83a29d551d8ae67103f4ec654d16a40477c6ec299,a5b0c176e1e60163c2c0f7f5121dfc99ba842e88dbb35c442c4e3e0b18582d5f
valid,18,True,OK,True,True,ccdcd3cea3774090465a0d4e8c81635a47ced3d29b245f46a03732141fdc845b,7e30dd3bcf36c30646c382e2317acc3a2cb63300d86d484a2eeabce8b2426580
