case_id,language,transform,v3_triggered
ntx3-000548-1,hin_Latn,nfkc,False
ntx3-000548-1,hin_Latn,extra_spaces,False
ntx3-000548-1,hin_Latn,punctuation,False
ntx3-000548-1,hin_Latn,zero_width,False
ntx3-001957-0,eng_Latn,nfkc,False
ntx3-001957-0,eng_Latn,extra_spaces,False
ntx3-001957-0,eng_Latn,punctuation,False
ntx3-001957-0,eng_Latn,zero_width,False
ntx3-000285-3,tel_Telu,nfkc,False
ntx3-000285-3,tel_Telu,extra_spaces,False
ntx3-000285-3,tel_Telu,punctuation,False
ntx3-000285-3,tel_Telu,zero_width,False
ntx3-000584-0,eng_Latn,nfkc,False
ntx3-000584-0,eng_Latn,extra_spaces,False
ntx3-000584-0,eng_Latn,punctuation,False
ntx3-000584-0,eng_Latn,zero_width,False
ntx3-000449-1,hin_Latn,nfkc,False
ntx3-000449-1,hin_Latn,extra_spaces,False
ntx3-000449-1,hin_Latn,punctuation,False
ntx3-000449-1,hin_Latn,zero_width,False
ntx3-001509-0,eng_Latn,nfkc,False
ntx3-001509-0,eng_Latn,extra_spaces,False
ntx3-001509-0,eng_Latn,punctuation,False
ntx3-001509-0,eng_Latn,zero_width,False
ntx3-000272-2,tel_Latn,nfkc,False
ntx3-000272-2,tel_Latn,extra_spaces,False
ntx3-000272-2,tel_Latn,punctuation,False
ntx3-000272-2,tel_Latn,zero_width,False
ntx3-001577-0,eng_Latn,nfkc,False
ntx3-001577-0,eng_Latn,extra_spaces,False
ntx3-001577-0,eng_Latn,punctuation,False
ntx3-001577-0,eng_Latn,zero_width,False
ntx3-001721-0,eng_Latn,nfkc,False
ntx3-001721-0,eng_Latn,extra_spaces,False
ntx3-001721-0,eng_Latn,punctuation,False
ntx3-001721-0,eng_Latn,zero_width,False
ntx3-001075-2,tel_Latn,nfkc,False
ntx3-001075-2,tel_Latn,extra_spaces,False
ntx3-001075-2,tel_Latn,punctuation,False
ntx3-001075-2,tel_Latn,zero_width,False
ntx3-001336-0,eng_Latn,nfkc,False
ntx3-001336-0,eng_Latn,extra_spaces,False
ntx3-001336-0,eng_Latn,punctuation,False
ntx3-001336-0,eng_Latn,zero_width,False
ntx3-001171-3,tel_Telu,nfkc,False
ntx3-001171-3,tel_Telu,extra_spaces,False
ntx3-001171-3,tel_Telu,punctuation,False
ntx3-001171-3,tel_Telu,zero_width,False
ntx3-001874-2,tel_Latn,nfkc,False
ntx3-001874-2,tel_Latn,extra_spaces,False
ntx3-001874-2,tel_Latn,punctuation,False
ntx3-001874-2,tel_Latn,zero_width,False
ntx3-002329-0,eng_Latn,nfkc,False
ntx3-002329-0,eng_Latn,extra_spaces,False
ntx3-002329-0,eng_Latn,punctuation,False
ntx3-002329-0,eng_Latn,zero_width,False
ntx3-001503-1,hin_Latn,nfkc,False
ntx3-001503-1,hin_Latn,extra_spaces,False
ntx3-001503-1,hin_Latn,punctuation,False
